SIDE,SCH,PLACE,Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
T,TMP05,P,A1,1,TMP05BRTZ-500RL7,,RJ_5-L,,TMP05BRTZ-500RL7,802-3688,,IC PWM TEMP SNSR CMOSTTL SOT23-5
T,Crystals,P,C1,1,C0603,10pF,SM,,,,,IPC CAP 0603
T,Crystals,P,C10,1,C0603,10pF,SM,,,,,IPC CAP 0603
B,AD7329,P,C11,1,C0603,680nF,SM,,,,,IPC CAP 0603
B,AD7329,P,C12,1,C0603,1nF,SM,,,,,IPC CAP 0603
B,AD7329,P,C13,1,C0603,1nF,SM,,,,,IPC CAP 0603
B,PIC,P,C167,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,PIC,P,C168,1,C0603,100nF,SM,,,,,IPC CAP 0603
B,PIC,P,C170,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Crystals,P,C171,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C173,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C174,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,PIC,P,C176,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C177,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C178,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C179,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C180,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C181,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C182,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,PIC,P,C183,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,Power,P,C184,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C185,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,TMP05,P,C186,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C187,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,FT230X,P,C188,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,Power,P,C189,1,C0603,10uF,SM,,,,,IPC CAP 0603
T,FT230X,P,C190,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,FT230X,P,C191,1,C0603,100nF,SM,,,,,IPC CAP 0603
T,AOS AD5624R,P,C199,1,C0603,10uF,SM,,,,,IPC CAP 0603
B,Power,P,C2,1,C0603,4.7uF,SM,,,,,IPC CAP 0603
