"Report File:","C:\Users\davidespano\OneDrive\Projects\DesignSparkPrjs\logxtreme\SMART-A\SMART-A\SMART-A (Bill Of Materials).csv"
"Report Written:","Saturday, January 20, 2018"
"Project Path:","C:\Users\davidespano\OneDrive\Projects\DesignSparkPrjs\logxtreme\SMART-A\SMART-A\SMART-A.prj"
"Design Path:","C:\Users\davidespano\OneDrive\Projects\DesignSparkPrjs\logxtreme\SMART-A\SMART-A\SMART-A.pcb"
"Design Title:",""
"Created:","10-Aug-16 8:56:42 PM"
"Last Saved:","20-Jan-18 11:59:38 AM"
"Editing Time:","39018 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"XTAL5","1","501JCA25M0000DAF","","SM","","","811-4958","","Silicon Oscillator 25MHz"
"CONN2","1","61729-0010BLF","","USER","","","771-0035","","Amphenol FCI 1 Port Right Angle Through Hole Mount Female Version 2.0 Type B USB Connector"
"CONN4","1","A-DF 15 A/KG-T1","","USER","","","674-0855","","D-sub 15 Right Angle Through Hole Socket 2.77mm"
"CONN5","1","A-DF 15 A/KG-T1","","USER","","","674-0855","","D-sub 15 Right Angle Through Hole Socket 2.77mm"
"U5","1","AD5624RBRMZ-3","","RM_10-L","","ad5624rbrmz-3","806-5373","",""
"U3","1","AD7329BRUZ","","RU_24","","","","",""
"U6","1","AD8226ARMZ","","RM_8-L","","AD8226ARMZ","759-1288","",""
"IC2","1","ADG467BRSZ","","SOP65P780X200-20N","Analog Devices","ADG467BRSZ","7097708","","ADG467BRSZ, Channel Protector, 20-Pin SSOP"
"D1","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D2","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D9","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D11","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D10","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D12","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D13","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D14","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D15","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D16","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D17","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D18","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D19","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D20","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D21","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"D22","1","BAT754S","","SML","","","508-315","","Dual SMT Schottky Diode 30V 200mA 3-Pin TO-236AB"
"L13","1","BU9HS-153R15BL","","USER","","","NA-FN2458144","","Common Mode Choke"
"C12","1","C0603","1nF","SM","","","","","IPC CAP 0603"
"C13","1","C0603","1nF","SM","","","","","IPC CAP 0603"
"C167","1","C0603","1OuF","SM","","","","","IPC CAP 0603"
"C170","1","C0603","1OuF","SM","","","","","IPC CAP 0603"
"C2","1","C0603","4.7uF","SM","","","","","IPC CAP 0603"
"C3","1","C0603","4.7uF","SM","","","","","IPC CAP 0603"
"C4","1","C0603","4.7uF","SM","","","","","IPC CAP 0603"
"C46","1","C0603","10nF","SM","","","","","IPC CAP 0603"
"C1","1","C0603","10pF","SM","","","","","IPC CAP 0603"
"C10","1","C0603","10pF","SM","","","","","IPC CAP 0603"
"C174","1","C0603","10uF","SM","","","","","IPC CAP 0603"
"C176","1","C0603","10uF","SM","","","","","IPC CAP 0603"
"C178","1","C0603","10uF","SM","","","","","IPC CAP 0603"
